,Tissue,MDS1,MDS2
101,leaves,-1.2570769221646585,-4.4530776228770526
102,leaves,6.782730815599197,-1.5641368946014904
103,leaves,1.1222361407008634,-0.18998845615181528
104,leaves,1.7516454867032123,-1.0271184619458942
105,leaves,1.6841707101972745,-1.1247649322119477
106,leaves,5.457947127701347,-4.461411842923613
107,leaves,6.049630662937035,-1.1267211355990485
108,leaves,0.17805652560315746,-3.9458045526229033
109,leaves,0.2833100645676854,-4.002578635640055
110,leaves,-1.7036793850248368,-5.686611347991816
111,leaves,2.181724139547306,-0.7947048016485417
112,leaves,2.9156110967981244,-0.8388556813677741
113,leaves,2.4353252977678044,-0.8599365542961542
114,leaves,-0.38200981090280867,-1.3018041148190946
115,leaves,-0.6404697319670118,-1.2516791477076499
116,leaves,-0.08061853150564889,-1.8434362926895291
117,leaves,1.4910076233367562,-1.1467406641192242
118,leaves,0.6899037163531491,-0.7028606769637725
119,leaves,1.037836645006512,-0.9102788660258895
120,leaves,1.080570563312592,-0.497638464298967
121,leaves,1.1456227334496176,-0.6093703551442925
122,leaves,1.266986608073008,-0.4665442024043127
123,leaves,-0.40635746676401374,-2.438862503666051
124,leaves,-1.026846667163192,-1.8130729305692088
125,leaves,-0.7529185062091203,-2.4682563136391606
126,leaves,5.658200190758947,4.539120085348424
127,leaves,6.252428394904671,3.9605513480913306
128,leaves,5.929529175765854,4.556127625706162
129,leaves,5.117348080656916,2.379328285035259
130,leaves,6.193921553047749,1.3182733027414455
131,leaves,5.565648678620078,2.2998453567726655
132,leaves,7.526637129445333,2.958000792086016
133,leaves,7.3470796053071075,3.0494593813434707
134,leaves,7.428572845763776,3.2495228051077905
135,leaves,-6.743048044772215,1.1686810692932357
136,leaves,-6.642160709632786,0.4489969159100486
137,leaves,-6.103032608008815,1.236730021702807
138,leaves,-6.049091315973786,0.9963316168418447
139,leaves,-6.884589397240433,0.16461231317292058
140,leaves,4.461411574993936,7.385022253999266
141,leaves,-6.326862643545495,-0.029600442070116022
142,leaves,5.001707101084079,7.636495780361111
143,leaves,-6.274933969895318,0.3725235007759433
144,leaves,-6.36877932048968,-0.291202620150932
145,leaves,-7.253654568673167,1.5297820649080949
146,leaves,-7.892040967369469,1.4468417035670036
147,leaves,-8.091844526906714,1.3143384981476736
148,leaves,-6.7862772681661125,1.902767140694827
149,leaves,4.270164107764895,8.063264860862732
150,leaves,4.710682387251071,8.003938049498474
151,leaves,-7.293084438932341,1.7797956822602015
152,leaves,-7.090481563339922,1.571474662737207
153,leaves,4.630305311844424,7.256872369975727
154,leaves,-7.664303640213724,0.5038544452449337
155,leaves,-6.510801496907406,0.2523599599905717
156,leaves,-6.717448085583775,0.3402164104444368
157,leaves,-6.888408593532117,0.4569049504187889
158,leaves,4.815592632169216,7.54304220610263
159,leaves,4.637113385284175,7.989150023878467
160,leaves,-7.213993432377422,1.0227340536780103
161,leaves,4.194642974151065,7.783853224988195
162,leaves,5.670336152462534,7.41927714870712
163,leaves,-6.839204272803422,-0.42202691384721275
164,leaves,-7.075740111503546,-0.4924059707276557
165,leaves,-6.786712688762123,-0.377669638540207
166,leaves,-6.925710866153851,-0.24043672131305294
167,leaves,-6.141903132518464,-0.6598469546752262
168,leaves,-6.843757516536094,1.075087494837536
169,leaves,-6.39105056094062,1.438431911162178
170,leaves,2.966415847057896,7.402120451709546
171,leaves,3.728700376223483,7.287894973203513
172,leaves,-5.952099713089636,1.6317793949522534
173,leaves,-6.652787195126427,1.0839202480928118
174,leaves,-6.913978075957491,1.4978604570434462
175,leaves,-7.759124801516929,1.0503078935947823
176,leaves,-6.662086390487989,0.39547783541911935
177,leaves,-6.616801962206696,1.7398149621475678
178,leaves,-7.47098928389451,1.7080105317886725
179,leaves,-6.221605666580721,1.8031260005957381
180,inflorescence,-11.43007527625625,-13.774388232301447
181,root,-1.5339470487411446,7.729701591267506
182,root,-4.723084274479286,8.053212798275815
183,root,-1.5847133851970245,8.121955088843512
184,shoot,4.541139881738981,1.5557534668954236
185,shoot,3.0090325223152474,1.7525031062757932
186,shoot,4.53780299722002,3.7362547667995107
187,root,0.3524251078161607,8.860295467549605
188,root,-1.4266080841292461,9.439392957984957
189,root,0.4976275163877042,9.089191008259537
190,shoot,3.9418167325298743,3.797352234568743
191,shoot,3.3481307877090813,4.237888341537476
192,shoot,4.908342535713635,4.79830725252189
193,root,-2.245043029630024,8.107054770297514
194,root,-3.8221561569125497,8.728090633172249
195,root,-2.399862114872725,8.370814346486808
196,shoot,1.211633897809086,1.1320810749328694
197,shoot,0.4459927361690334,0.8509784451986473
198,shoot,2.4877003559270987,2.37943985853877
199,root,0.9294976212262887,10.399666635680875
200,root,-0.33073593967427334,10.74057607338498
201,root,1.3396744437790462,10.383419366902812
202,shoot,6.184679305081585,4.898307049897415
203,shoot,6.406639124126926,4.400028719689731
204,shoot,6.389742728434267,5.145147342704362
205,root,-7.375285917544607,7.966097485836436
206,root,-0.032490535968904284,10.52356921212917
207,root,0.4813269587764906,10.548055783471947
208,shoot,-2.0246197825673375,-1.9344603200609716
209,shoot,0.9968973644392735,-2.2902977608506814
210,shoot,5.799890730815318,3.5973644553696746
211,root,1.0507183188980558,9.700887200160729
212,root,-3.944906153845979,9.736959251910559
213,root,0.9952791933526572,9.496750158914566
214,shoot,4.616445619400575,4.1075903128214994
215,shoot,4.183457026503634,4.314936806499344
216,shoot,5.401041438912545,4.876991785651033
217,root,-0.0657614211911139,9.200433863653318
218,root,-2.9123286352479156,9.701753416708671
219,root,-0.1359383093285883,9.17772758762371
220,shoot,3.939243218435411,3.4731870646314857
221,shoot,2.6107951461127157,3.1492453533999516
222,shoot,5.0651400575649115,5.070796467935141
223,root,-3.1849519546211567,8.399990218608384
224,root,-4.344883669525935,9.054641581432305
225,root,-2.529109621958237,8.868953792785307
226,shoot,1.6555797287521328,2.0452646563191106
227,shoot,-0.7996130480268392,1.2498619143520175
228,shoot,3.895907394703847,2.597951841200267
229,leaves,-0.7614983664242653,-1.3052014440070547
230,leaves,2.3420913186091505,0.15464535899090998
231,leaves,-0.21062194320873612,-0.3968478800562574
232,leaves,-1.7117963312915117,-1.661325599062545
233,root,-7.762931952399604,4.256247994162163
234,root,-8.405902072904563,3.878476657677739
235,root,-7.056479624225682,5.539617448075664
236,root,-6.30129796345262,5.4106232822122715
237,root,-7.07633675405957,5.335313542597916
238,root,-6.841872593460329,5.088539601585067
239,root,-5.652814057133366,5.744314734343103
240,root,-6.659845208705123,5.045893294469315
241,root,-6.851472694248615,5.7403180164620355
242,root,-7.6907693523159555,5.957640029885989
243,root,-5.768986356384101,5.341949271222935
244,inflorescence,0.5473797153212118,3.588837769665476
245,inflorescence,0.5004928860742565,3.440631220421185
246,inflorescence,2.5479202794354396,4.657940036723408
247,inflorescence,1.5110973282891063,4.505414159585793
248,inflorescence,1.6268558966688405,5.067261220299914
249,inflorescence,1.7047913781341815,4.81243336984602
250,inflorescence,1.7492824846780872,4.7187805332831205
251,inflorescence,3.0743333899795773,5.563983934439995
252,inflorescence,3.16964171380591,5.45914569726053
253,inflorescence,2.287338464322257,4.614612270595157
254,inflorescence,0.18913573947361706,3.3173124615449825
255,inflorescence,-0.8795272937262921,2.1165564355874658
256,leaves,-5.933281830070407,1.0662663076893948
257,leaves,-6.2140427098238735,1.8038097262418689
258,leaves,-6.403579480832455,0.508964863624668
