"RawName","Counts","Tissue","VegetativeRepro","AboveBelow","Debatable"
"apical hook",9,"Shoot","Vegetative","Above",NA
"the whole plant",8,"WholePlant","WholePlant","WholePlant",NA
"Inflorescence stem",8,"Inflorescence","Reproductive","Above",NA
"siluge without seeds",8,"Seed","Reproductive",NA,NA
"inflorescences",8,"Inflorescence","Reproductive","Above",NA
"3 weeks old roots",8,NA,NA,NA,NA
"meristems and young leaves",8,NA,NA,NA,NA
"5-day-old whole seedlings",8,"Seedling","WholePlant","WholePlant",NA
"leaf blade",8,"Leaf","Vegetative","Above",NA
"Etiolated Cotyledon",8,"Cotyledon","Vegetative","Above",NA
"10days seedlings",8,"Seedling","WholePlant","WholePlant",NA
"leaf, stem, root",8,NA,NA,NA,NA
"whole roots",8,"Root","Root","Below",NA
"4day seedlings",8,"Seedling","WholePlant","WholePlant",NA
"endodermis",7,NA,NA,NA,NA
"5day whole seedlings",7,"Seedling","WholePlant","WholePlant",NA
"pod",7,NA,NA,NA,NA
"whole shoot",6,"Shoot","Vegetative","Above",NA
"10-days Seedlings",6,"Seedling","WholePlant","WholePlant",NA
"flower meristems",6,"Flower","Reproductive","Above",NA
"root tissue",6,"Root","Root","Below",NA
"Guard cell",6,NA,NA,NA,NA
"Aerial parts of seedlings",6,"Seedling","WholePlant","WholePlant","Yes"
"14 day-old seedlings",6,"Seedling","WholePlant","WholePlant",NA
"inflorescence stem",6,NA,NA,NA,NA
"stem base",6,NA,NA,NA,NA
"4PGD seedlings",6,"Seedling","WholePlant","WholePlant",NA
"seeding",6,NA,NA,NA,NA
"inflorescence meristems",6,NA,NA,NA,NA
"10 day old roots",6,NA,NA,NA,NA
"seeds",6,"Seed","Reproductive",NA,NA
"Primary inflorescence of shoot apices",6,NA,NA,NA,NA
"second true leaf",6,NA,NA,NA,NA
"leaf midrib",6,NA,NA,NA,NA
"14day seedlings",6,"Seedling","WholePlant","WholePlant",NA
"cultured cell line MM2d",6,NA,NA,NA,NA
"first true leaf",6,NA,NA,NA,NA
"shoot axis apex",6,NA,NA,NA,NA
"Floral buds",6,NA,NA,NA,NA
"14 day-old seedling",6,"Seedling","WholePlant","WholePlant",NA
"gynoecium",6,NA,NA,NA,NA
"inflorescence meristems and flowers",6,NA,NA,NA,NA
"root stele cells",5,NA,NA,NA,NA
"Isolated anthers",5,NA,NA,NA,NA
"Cotyledons + SAM",5,NA,NA,NA,NA
"14DAG seedlings",4,"Seedling","WholePlant","WholePlant",NA
"12DAG seedlings",4,"Seedling","WholePlant","WholePlant",NA
"leaf phloem",4,"Vasculature","Vegetative","Above",NA
"12-day old seedlings",4,"Seedling","WholePlant","WholePlant",NA
"cauline leaf",4,"Leaf","Vegetative","Above",NA
"apical tissue and leaves",4,NA,NA,NA,NA
"imbibed seeds",4,"Seed","Reproductive",NA,NA
"cotyledons and hypocotyls",4,NA,NA,NA,NA
"stem cell (CLV3+)",4,NA,NA,NA,NA
"Whole plant",4,"WholePlant","WholePlant","WholePlant",NA
"Roots",4,"Root","Root","Below",NA
"SAM meristematic cell (CLV3-)",4,NA,NA,NA,NA
"whole root of the 8 days old seedling",3,"Seedling","WholePlant","WholePlant","Yes"
"egg Cell",3,NA,NA,NA,NA
"Apical cell",3,NA,NA,NA,NA
"Embryo proper",3,NA,NA,NA,NA
"Basal cell",3,NA,NA,NA,NA
"cotyledons",3,"Cotyledon","Vegetative","Above",NA
"Egg Cell",3,NA,NA,NA,NA
"roots and hyphae",3,"Root","Root","Below",NA
"inflorescences and siliques",3,NA,NA,NA,NA
"mesophyll",2,"Leaf","Vegetative","Above",NA
"leaves no. 5-6th darkened for 5 days",2,"Leaf","Vegetative","Above",NA
"Rosette",2,"Leaf","Vegetative","Above",NA
"root apex",2,"Root","Root","Below",NA
"Developing seed",2,NA,NA,NA,NA
"phloem cap",2,"Vasculature","Vegetative","Above",NA
"mature ovule",2,NA,NA,NA,NA
"Newly fertilized silique",2,NA,NA,NA,NA
"meiocytes",2,"Reproductive- Other","Reproductive","Above",NA
